claim_id,pipeline,target_id,target_label,target_disease,candidate_id,candidate_label,candidate_family,candidate_disease,best_lag_weeks,pearson_r,paired_weeks,threshold,evidence_status,promoted_edge_type,target_source,candidate_source,interpretation
claim_target_covid_hospitalization_rate__candidate_test_positivity_covid_19,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_test_positivity_covid_19,COVID-19 test positivity,test_positivity,covid,1,0.643180,193,0.60,present,LEADING_INDICATOR_FOR,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_test_positivity_influenza,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_test_positivity_influenza,Influenza test positivity,test_positivity,influenza,1,0.261631,193,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_test_positivity_rsv,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_test_positivity_rsv,RSV test positivity,test_positivity,rsv,4,0.573876,190,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_negative_control_deterministic,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_negative_control_deterministic,Deterministic negative-control surveillance signal,negative_control,none,2,0.022977,328,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,deterministic synthetic negative control,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_wastewater_sars_cov_2,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_wastewater_sars_cov_2,Wastewater SARS-CoV-2 viral activity,wastewater,covid,0,0.239340,233,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_wastewater_influenza_a,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_wastewater_influenza_a,Wastewater Influenza A viral activity,wastewater,influenza,0,0.095853,233,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_wastewater_rsv,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_wastewater_rsv,Wastewater RSV viral activity,wastewater,rsv,0,0.179525,224,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_test_positivity_covid_19,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_test_positivity_covid_19,COVID-19 test positivity,test_positivity,covid,1,0.069160,193,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_test_positivity_influenza,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_test_positivity_influenza,Influenza test positivity,test_positivity,influenza,0,0.769103,194,0.60,present,CONCURRENT_INDICATOR_FOR,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_test_positivity_rsv,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_test_positivity_rsv,RSV test positivity,test_positivity,rsv,2,0.963308,192,0.60,present,LEADING_INDICATOR_FOR,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_rsv_hospitalization_rate__candidate_negative_control_deterministic,respiratory_expansion,target_rsv_hospitalization_rate,RSV-NET RSV hospitalization rate,rsv,candidate_negative_control_deterministic,Deterministic negative-control surveillance signal,negative_control,none,4,0.008404,352,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,deterministic synthetic negative control,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
