case_id,method,case_type,question
resp_exp_011,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_012,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_013,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_014,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_015,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_016,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_017,resp_exp_text_rag_unstructured_full,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_018,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,"Among promoted typed edges for the influenza hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_019,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,"Among promoted typed edges for the covid hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_020,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,"Among promoted typed edges for the rsv hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_021,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the influenza hospitalization target? Return the exact binding.
resp_exp_022,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the covid hospitalization target? Return the exact binding.
resp_exp_023,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the rsv hospitalization target? Return the exact binding.
resp_exp_024,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,"For target 'FluSurv-NET influenza hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding."
resp_exp_025,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,"For target 'COVID-NET COVID-19 hospitalization rate', identify the promoted concurrent indicator involving 'Wastewater SARS-CoV-2 viral activity'. Return the exact binding."
resp_exp_026,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,"For target 'RSV-NET RSV hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding."
resp_exp_027,resp_exp_text_rag_unstructured_full,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'FluSurv-NET influenza hospitalization rate'? Return the exact binding and edge status.
resp_exp_028,resp_exp_text_rag_unstructured_full,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'COVID-NET COVID-19 hospitalization rate'? Return the exact binding and edge status.
resp_exp_029,resp_exp_text_rag_unstructured_full,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'RSV-NET RSV hospitalization rate'? Return the exact binding and edge status.
resp_exp_030,resp_exp_text_rag_unstructured_full,model_revision_guard,"For the influenza hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
resp_exp_031,resp_exp_text_rag_unstructured_full,model_revision_guard,"For the covid hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
resp_exp_032,resp_exp_text_rag_unstructured_full,model_revision_guard,"For the rsv hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
resp_exp_001,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_002,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_003,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,resp_exp_graphrag_context,promoted_exact_binding,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_010,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_011,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_012,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_013,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_014,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_015,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_016,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_017,resp_exp_graphrag_context,missing_exact_binding,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_018,resp_exp_graphrag_context,strongest_promoted_by_target,"Among promoted typed edges for the influenza hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_019,resp_exp_graphrag_context,strongest_promoted_by_target,"Among promoted typed edges for the covid hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_020,resp_exp_graphrag_context,strongest_promoted_by_target,"Among promoted typed edges for the rsv hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type."
resp_exp_021,resp_exp_graphrag_context,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the influenza hospitalization target? Return the exact binding.
resp_exp_022,resp_exp_graphrag_context,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the covid hospitalization target? Return the exact binding.
resp_exp_023,resp_exp_graphrag_context,leading_indicator_by_target,Which promoted candidate is a LEADING_INDICATOR_FOR the rsv hospitalization target? Return the exact binding.
resp_exp_024,resp_exp_graphrag_context,concurrent_indicator_discrimination,"For target 'FluSurv-NET influenza hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding."
resp_exp_025,resp_exp_graphrag_context,concurrent_indicator_discrimination,"For target 'COVID-NET COVID-19 hospitalization rate', identify the promoted concurrent indicator involving 'Wastewater SARS-CoV-2 viral activity'. Return the exact binding."
resp_exp_026,resp_exp_graphrag_context,concurrent_indicator_discrimination,"For target 'RSV-NET RSV hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding."
resp_exp_027,resp_exp_graphrag_context,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'FluSurv-NET influenza hospitalization rate'? Return the exact binding and edge status.
resp_exp_028,resp_exp_graphrag_context,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'COVID-NET COVID-19 hospitalization rate'? Return the exact binding and edge status.
resp_exp_029,resp_exp_graphrag_context,negative_control_guard,What happened to the deterministic negative-control surveillance signal for target 'RSV-NET RSV hospitalization rate'? Return the exact binding and edge status.
resp_exp_030,resp_exp_graphrag_context,model_revision_guard,"For the influenza hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
resp_exp_031,resp_exp_graphrag_context,model_revision_guard,"For the covid hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
resp_exp_032,resp_exp_graphrag_context,model_revision_guard,"For the rsv hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding."
