case_id,case_type,method,top_k,retrieval_mode
resp_exp_020,strongest_promoted_by_target,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_021,leading_indicator_by_target,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_022,leading_indicator_by_target,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_023,leading_indicator_by_target,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_024,concurrent_indicator_discrimination,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_025,concurrent_indicator_discrimination,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_026,concurrent_indicator_discrimination,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_027,negative_control_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_028,negative_control_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_029,negative_control_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_030,model_revision_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_031,model_revision_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_032,model_revision_guard,resp_exp_text_rag_top2,2,text_lexical_top_k
resp_exp_001,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_002,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_003,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_004,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_005,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_006,promoted_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_007,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_008,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_009,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_010,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_011,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_012,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_013,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_014,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_015,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_016,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_017,missing_exact_binding,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_018,strongest_promoted_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_019,strongest_promoted_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_020,strongest_promoted_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_021,leading_indicator_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_022,leading_indicator_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_023,leading_indicator_by_target,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_024,concurrent_indicator_discrimination,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_025,concurrent_indicator_discrimination,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_026,concurrent_indicator_discrimination,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_027,negative_control_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_028,negative_control_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_029,negative_control_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_030,model_revision_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_031,model_revision_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
resp_exp_032,model_revision_guard,resp_exp_graphrag_target_neighborhood,,graph_target_neighborhood
