case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms_json,forbidden_terms_present_json,answer_length_chars,retrieval_coverage,retrieval_all_required_terms_present,retrieval_missing_terms_json,retrieved_chunk_ids,retrieved_chunk_titles,question,expected_answer,answer,retrieval_coverage_bucket
resp_exp_011,resp_exp_text_rag_top1,missing_exact_binding,0.286,True,False,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],163,0.571,False,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_012,resp_exp_text_rag_top1,missing_exact_binding,0.286,True,False,"[""lag=0"", ""r=-0.028546"", ""paired_weeks=233"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],150,0.857,False,"[""r=-0.028546""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.028546, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_0.75_to_0.89
resp_exp_013,resp_exp_text_rag_top1,missing_exact_binding,0.286,True,False,"[""lag=0"", ""r=-0.026794"", ""paired_weeks=224"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],142,0.857,False,"[""r=-0.026794""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.026794, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_0.75_to_0.89
resp_exp_014,resp_exp_text_rag_top1,missing_exact_binding,0.286,True,False,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],156,0.571,False,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_015,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],160,1.000,True,[],"[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_016,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],161,1.000,True,[],"[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_017,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],153,1.000,True,[],"[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_018,resp_exp_text_rag_top1,strongest_promoted_by_target,1.000,True,True,[],[],222,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Among promoted typed edges for the influenza hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Among the promoted influenza-target bindings shown, Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_019,resp_exp_text_rag_top1,strongest_promoted_by_target,0.000,True,False,"[""Wastewater SARS-CoV-2 viral activity"", ""COVID-NET COVID-19 hospitalization rate"", ""lag=0"", ""r=0.883280"", ""paired_weeks=233"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",[],120,0.571,False,"[""Wastewater SARS-CoV-2 viral activity"", ""r=0.883280"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Among promoted typed edges for the covid hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The retrieved Text-RAG context does not provide the promoted COVID-target bindings needed to identify the strongest one.,retrieval_partial_lt_0.75
resp_exp_020,resp_exp_text_rag_top1,strongest_promoted_by_target,1.000,True,True,[],[],198,1.000,True,[],"[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Among promoted typed edges for the rsv hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is the promoted RSV-target binding shown.",retrieval_full_coverage
resp_exp_021,resp_exp_text_rag_top1,leading_indicator_by_target,0.000,True,False,"[""RSV test positivity"", ""FluSurv-NET influenza hospitalization rate"", ""lag=4"", ""r=0.611619"", ""paired_weeks=148"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR""]",[],141,0.571,False,"[""RSV test positivity"", ""r=0.611619"", ""paired_weeks=148""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",Which promoted candidate is a LEADING_INDICATOR_FOR the influenza hospitalization target? Return the exact binding.,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The exact promoted LEADING_INDICATOR_FOR binding for the influenza hospitalization target is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_022,resp_exp_text_rag_top1,leading_indicator_by_target,1.000,True,True,[],[],163,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",Which promoted candidate is a LEADING_INDICATOR_FOR the covid hospitalization target? Return the exact binding.,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_023,resp_exp_text_rag_top1,leading_indicator_by_target,0.000,True,False,"[""RSV test positivity"", ""RSV-NET RSV hospitalization rate"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR""]",[],135,0.429,False,"[""RSV test positivity"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",Which promoted candidate is a LEADING_INDICATOR_FOR the rsv hospitalization target? Return the exact binding.,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The exact promoted LEADING_INDICATOR_FOR binding for the RSV hospitalization target is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_024,resp_exp_text_rag_top1,concurrent_indicator_discrimination,0.286,True,False,"[""lag=0"", ""r=0.926193"", ""paired_weeks=151"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",[],152,0.857,False,"[""r=0.926193""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","For target 'FluSurv-NET influenza hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Influenza test positivity -> FluSurv-NET influenza hospitalization rate concurrent binding is not available in the retrieved Text-RAG context.,retrieval_partial_0.75_to_0.89
resp_exp_025,resp_exp_text_rag_top1,concurrent_indicator_discrimination,1.000,True,True,[],[],178,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","For target 'COVID-NET COVID-19 hospitalization rate', identify the promoted concurrent indicator involving 'Wastewater SARS-CoV-2 viral activity'. Return the exact binding.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_026,resp_exp_text_rag_top1,concurrent_indicator_discrimination,1.000,True,True,[],[],160,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","For target 'RSV-NET RSV hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_027,resp_exp_text_rag_top1,negative_control_guard,1.000,True,True,[],[],208,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",What happened to the deterministic negative-control surveillance signal for target 'FluSurv-NET influenza hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. It remained unpromoted.",retrieval_full_coverage
resp_exp_028,resp_exp_text_rag_top1,negative_control_guard,0.286,True,False,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],163,0.571,False,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",What happened to the deterministic negative-control surveillance signal for target 'COVID-NET COVID-19 hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_029,resp_exp_text_rag_top1,negative_control_guard,0.286,True,False,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]",[],156,0.571,False,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]",What happened to the deterministic negative-control surveillance signal for target 'RSV-NET RSV hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_030,resp_exp_text_rag_top1,model_revision_guard,0.700,True,False,"[""screening evidence only"", ""COVID-19 test positivity"", ""should not be promoted""]",[],414,0.800,False,"[""screening evidence only"", ""COVID-19 test positivity""]","[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","For the influenza hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding.","For a candidate model revision for influenza, use the promoted binding Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement. The unsupported candidate COVID-19 test positivity should not be promoted.","Hypothesis candidate: Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. Unsupported: Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE; forecast benefit remains unvalidated.",retrieval_partial_0.75_to_0.89
resp_exp_031,resp_exp_text_rag_top1,model_revision_guard,0.700,True,False,"[""screening evidence only"", ""Wastewater Influenza A viral activity"", ""should not be promoted""]",[],323,0.800,False,"[""screening evidence only"", ""Wastewater Influenza A viral activity""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","For the covid hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding.","For a candidate model revision for covid, use the promoted binding Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement. The unsupported candidate Wastewater Influenza A viral activity should not be promoted.","Hypothesis candidate: Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. An exact unsupported COVID-target binding is not available in the retrieved context; forecast benefit remains unvalidated.",retrieval_partial_0.75_to_0.89
