case_id,case_type,pipeline,target_signal,query,expected_selected_candidate,expected_status,expected_lag_weeks,expected_score,expected_paired_weeks,expected_edge_type,expected_evidence_claim_count,expected_typed_edge_count,must_include,must_not_include,grading_focus,notes
emp_hard_011,negative_control_preservation,empirical_influenza,FluSurv-NET influenza hospitalization rate,The negative-control signal has a listed best lag. Should it be treated as present evidence? Explain using the score.,Negative-control permuted surveillance signal,missing,4,-0.048027,26,,4,3,No; status missing; best lag 4 weeks; r=-0.048027; score is not supportive,best lag means positive evidence; promoted edge; leading indicator present,missing_edge_recall; score_interpretation; false_positive_edge_claims,Tests whether method incorrectly treats any best-lag value as support.
emp_hard_012,negative_control_preservation,empirical_influenza,FluSurv-NET influenza hospitalization rate,"Which empirical candidate was intentionally used to test missing-evidence preservation, and how did the KG represent it?",Negative-control permuted surveillance signal,missing,4,-0.048027,26,,4,3,Negative-control permuted surveillance signal; missing evidence; retained as EvidenceClaim; not promoted into typed KG edge,real epidemiological driver; typed edge created for negative control; positive candidate,negative_control_identification; graph_behavior_accuracy,Tests KG behavior for the negative control.
emp_hard_013,negative_control_preservation,empirical_influenza,FluSurv-NET influenza hospitalization rate,How many positive typed leading-indicator edges should exist after including the negative control?,,multi,,,,LEADING_INDICATOR_FOR,4,3,3 positive typed LEADING_INDICATOR_FOR edges; 4 EvidenceClaims total; negative control not promoted,4 typed leading-indicator edges; negative control edge; all claims promoted,typed_edge_count_accuracy; evidence_claim_count_accuracy; false_positive_edge_claims,Tests exact count distinction after negative-control inclusion.
emp_hard_014,evidence_blurring_score_binding,empirical_influenza,FluSurv-NET influenza hospitalization rate,Summarize the evidence for all three positive empirical candidates without mixing their scores.,multi,present,1,multi,multi,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity r=0.958037; wastewater r=0.947016; test positivity r=0.925810; all lag 1 week,score swapped; ILI r=0.947016; wastewater r=0.958037; test positivity r=0.947016,candidate_score_binding_accuracy; lag_accuracy; present_edge_recall,Core empirical evidence-blurring case.
emp_hard_015,evidence_blurring_score_binding,empirical_influenza,FluSurv-NET influenza hospitalization rate,"A retrieved passage mentions ILI, wastewater, and test positivity together. State which score belongs to each candidate.",multi,present,1,multi,multi,LEADING_INDICATOR_FOR,4,3,ILI r=0.958037; wastewater r=0.947016; test positivity r=0.925810,score swapped; all same score; unknown score,candidate_score_binding_accuracy,Designed for blended Text-RAG context stress testing.
emp_hard_016,evidence_blurring_score_binding,empirical_influenza,FluSurv-NET influenza hospitalization rate,"Which empirical candidates had lag 1 present evidence, and which candidate did not have present evidence?",multi,multi,multi,multi,multi,LEADING_INDICATOR_FOR for positives only,4,3,Outpatient ILI activity present lag 1; wastewater present lag 1; test positivity present lag 1; negative control missing,negative control present lag 1; negative control leading indicator; missing real signal,status_accuracy; lag_accuracy; missing_edge_recall,Tests status and lag binding across all four candidates.
emp_hard_017,evidence_blurring_score_binding,empirical_influenza,FluSurv-NET influenza hospitalization rate,Identify any empirical candidate that should not receive a typed leading-indicator edge and explain why.,Negative-control permuted surveillance signal,missing,4,-0.048027,26,,4,3,Negative-control permuted surveillance signal; r=-0.048027; missing; not promoted; no typed LEADING_INDICATOR_FOR edge,outpatient ILI should not receive edge; wastewater should not receive edge; test positivity should not receive edge; negative control present,false_positive_edge_claims; graph_behavior_accuracy,Tests separation between positive real signals and negative control.
emp_hard_018,evidence_claim_vs_typed_edge,empirical_influenza,FluSurv-NET influenza hospitalization rate,Explain the difference between the four empirical EvidenceClaims and the three typed KG edges.,,multi,,,,LEADING_INDICATOR_FOR,4,3,4 EvidenceClaims; 3 typed LEADING_INDICATOR_FOR edges; negative control retained as missing EvidenceClaim only; not all EvidenceClaims become typed edges,4 typed edges; negative control edge; EvidenceClaim means confirmed edge,evidence_claim_count_accuracy; typed_edge_count_accuracy; graph_semantics,Tests graph semantic understanding.
emp_hard_019,evidence_claim_vs_typed_edge,empirical_influenza,FluSurv-NET influenza hospitalization rate,"If an answer says there were four empirical leading-indicator KG edges, what is wrong with that answer?",,multi,,,,LEADING_INDICATOR_FOR,4,3,incorrect; there were 4 EvidenceClaims; only 3 typed LEADING_INDICATOR_FOR edges; negative control was not promoted,four typed edges is correct; negative control edge exists,typed_edge_count_accuracy; error_detection,Tests ability to correct false edge-count claims.
emp_hard_020,causal_overclaim_guard,empirical_influenza,FluSurv-NET influenza hospitalization rate,"Do the empirical influenza results prove that ILI, wastewater, or test positivity caused the hospitalization target to rise?",,multi,,,,,4,3,No; lagged correlation; screening evidence; not causal proof; model-revision candidate; downstream validation future work,proved causality; confirmed cause; automatic causal discovery; forecast improvement validated,causal_overclaim_avoidance; interpretation_accuracy,Defense-safety case.
emp_hard_021,causal_overclaim_guard,empirical_influenza,FluSurv-NET influenza hospitalization rate,Write a thesis-safe interpretation of the empirical influenza extension in one paragraph.,,multi,,,,,4,3,real surveillance signals; evidence preservation; lagged association; not causal discovery; small empirical extension,proved causal driver; confirmed epidemiological cause; fully validated forecasting system,causal_overclaim_avoidance; thesis_framing,Qualitative guardrail case.
emp_hard_022,pipeline_isolation,empirical_influenza,FluSurv-NET influenza hospitalization rate,"In the empirical_influenza pipeline, which candidates should be considered for the hospitalization target?",multi,multi,,,,,4,3,Outpatient ILI activity; Influenza A wastewater concentration; Influenza test positivity; Negative-control permuted surveillance signal; empirical_influenza,Chile Influenza Activity; Australia Influenza Activity; Travel Importation Pressure; Humidity Drop; dengue; RSV; COVID,pipeline_isolation; candidate_pool_accuracy,Tests that empirical KG retrieval does not leak controlled fixture candidates.
emp_hard_023,pipeline_isolation,empirical_influenza,FluSurv-NET influenza hospitalization rate,Should controlled fixture candidates such as Chile or Australia influenza activity appear in the empirical influenza KG context answer?,,multi,,,,,4,3,No; pipeline-scoped; empirical_influenza; only empirical candidates,Chile should appear; Australia should appear; fixture candidates belong in empirical context,pipeline_isolation; leakage_detection,Tests isolation of empirical pipeline from controlled benchmark graph.
emp_hard_024,model_revision_recommendation,empirical_influenza,FluSurv-NET influenza hospitalization rate,"Based on the empirical claims, propose a cautious next model-revision test and mention the main limitations.",Outpatient ILI activity,present,1,0.958037,29,LEADING_INDICATOR_FOR,4,3,test Outpatient ILI activity first; lag 1 week; r=0.958037; possible model feature; not causal proof; downstream forecast validation needed; negative control not supported,forecast error already improved; causal driver confirmed; negative control as feature; automatic model revision validated,model_revision_recommendation; causal_overclaim_avoidance; negative_control_handling,Final applied workflow case.
