claim_id,target_label,candidate_label,recorded_lag,computed_lag,lag_match,recorded_pearson_r,computed_pearson_r,pearson_match,recorded_paired_weeks,computed_paired_weeks,paired_weeks_match,recorded_evidence_status,expected_evidence_status,evidence_status_match,recorded_edge_type,expected_edge_type,edge_type_match,audit_pass,all_lags_json
claim_target_covid_hospitalization_rate__candidate_test_positivity_covid_19,COVID-NET COVID-19 hospitalization rate,COVID-19 test positivity,1,1,True,0.643180,0.643180,True,193,193,True,present,present,True,LEADING_INDICATOR_FOR,LEADING_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.632667, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.64318, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.636003, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.6149, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.582486, ""paired_weeks"": 190}]"
claim_target_covid_hospitalization_rate__candidate_test_positivity_influenza,COVID-NET COVID-19 hospitalization rate,Influenza test positivity,1,1,True,0.261631,0.261631,True,193,193,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.259427, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.261631, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.243473, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.208202, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.162369, ""paired_weeks"": 190}]"
claim_target_covid_hospitalization_rate__candidate_test_positivity_rsv,COVID-NET COVID-19 hospitalization rate,RSV test positivity,4,4,True,0.573876,0.573876,True,190,190,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.470537, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.502995, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.532501, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.556708, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.573876, ""paired_weeks"": 190}]"
claim_target_covid_hospitalization_rate__candidate_negative_control_deterministic,COVID-NET COVID-19 hospitalization rate,Deterministic negative-control surveillance signal,2,2,True,0.022977,0.022977,True,328,328,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.013621, ""paired_weeks"": 328}, {""lag"": 1, ""pearson_r"": 0.01837, ""paired_weeks"": 328}, {""lag"": 2, ""pearson_r"": 0.022977, ""paired_weeks"": 328}, {""lag"": 3, ""pearson_r"": 0.010278, ""paired_weeks"": 328}, {""lag"": 4, ""pearson_r"": -0.009617, ""paired_weeks"": 328}]"
claim_target_rsv_hospitalization_rate__candidate_wastewater_sars_cov_2,RSV-NET RSV hospitalization rate,Wastewater SARS-CoV-2 viral activity,0,0,True,0.239340,0.239340,True,233,233,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.23934, ""paired_weeks"": 233}, {""lag"": 1, ""pearson_r"": 0.205668, ""paired_weeks"": 232}, {""lag"": 2, ""pearson_r"": 0.166707, ""paired_weeks"": 231}, {""lag"": 3, ""pearson_r"": 0.132524, ""paired_weeks"": 230}, {""lag"": 4, ""pearson_r"": 0.104164, ""paired_weeks"": 229}]"
claim_target_rsv_hospitalization_rate__candidate_wastewater_influenza_a,RSV-NET RSV hospitalization rate,Wastewater Influenza A viral activity,0,0,True,0.095853,0.095853,True,233,233,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.095853, ""paired_weeks"": 233}, {""lag"": 1, ""pearson_r"": 0.07868, ""paired_weeks"": 232}, {""lag"": 2, ""pearson_r"": 0.061185, ""paired_weeks"": 231}, {""lag"": 3, ""pearson_r"": 0.04355, ""paired_weeks"": 230}, {""lag"": 4, ""pearson_r"": 0.020593, ""paired_weeks"": 229}]"
claim_target_rsv_hospitalization_rate__candidate_wastewater_rsv,RSV-NET RSV hospitalization rate,Wastewater RSV viral activity,0,0,True,0.179525,0.179525,True,224,224,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.179525, ""paired_weeks"": 224}, {""lag"": 1, ""pearson_r"": 0.174183, ""paired_weeks"": 223}, {""lag"": 2, ""pearson_r"": 0.160361, ""paired_weeks"": 222}, {""lag"": 3, ""pearson_r"": 0.134766, ""paired_weeks"": 221}, {""lag"": 4, ""pearson_r"": 0.110534, ""paired_weeks"": 220}]"
claim_target_rsv_hospitalization_rate__candidate_test_positivity_covid_19,RSV-NET RSV hospitalization rate,COVID-19 test positivity,1,1,True,0.069160,0.069160,True,193,193,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.068019, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.06916, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.066418, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.062765, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.059323, ""paired_weeks"": 190}]"
claim_target_rsv_hospitalization_rate__candidate_test_positivity_influenza,RSV-NET RSV hospitalization rate,Influenza test positivity,0,0,True,0.769103,0.769103,True,194,194,True,present,present,True,CONCURRENT_INDICATOR_FOR,CONCURRENT_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.769103, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.7128, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.631961, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.540562, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.446755, ""paired_weeks"": 190}]"
claim_target_rsv_hospitalization_rate__candidate_test_positivity_rsv,RSV-NET RSV hospitalization rate,RSV test positivity,2,2,True,0.963308,0.963308,True,192,192,True,present,present,True,LEADING_INDICATOR_FOR,LEADING_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.929183, ""paired_weeks"": 194}, {""lag"": 1, ""pearson_r"": 0.960973, ""paired_weeks"": 193}, {""lag"": 2, ""pearson_r"": 0.963308, ""paired_weeks"": 192}, {""lag"": 3, ""pearson_r"": 0.936239, ""paired_weeks"": 191}, {""lag"": 4, ""pearson_r"": 0.884316, ""paired_weeks"": 190}]"
claim_target_rsv_hospitalization_rate__candidate_negative_control_deterministic,RSV-NET RSV hospitalization rate,Deterministic negative-control surveillance signal,4,4,True,0.008404,0.008404,True,352,352,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": -0.013602, ""paired_weeks"": 360}, {""lag"": 1, ""pearson_r"": 0.008364, ""paired_weeks"": 358}, {""lag"": 2, ""pearson_r"": 0.00383, ""paired_weeks"": 356}, {""lag"": 3, ""pearson_r"": -0.003898, ""paired_weeks"": 354}, {""lag"": 4, ""pearson_r"": 0.008404, ""paired_weeks"": 352}]"
