case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms_json,forbidden_terms_present_json,answer_length_chars,question,expected_answer,answer
resp_exp_011,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],181,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_012,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],169,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.028546, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.028546, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_013,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],161,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.026794, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.026794, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_014,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],174,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_015,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],160,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_016,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],161,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_017,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],153,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_018,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,1.000,True,True,[],[],252,"Among promoted typed edges for the influenza hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_019,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,1.000,True,True,[],[],260,"Among promoted typed edges for the covid hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_020,resp_exp_text_rag_unstructured_full,strongest_promoted_by_target,1.000,True,True,[],[],233,"Among promoted typed edges for the rsv hospitalization target, which candidate has the strongest Pearson correlation? Return the exact candidate, target, lag, r, paired_weeks, evidence_status, and edge_type.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_021,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,1.000,True,True,[],[],161,Which promoted candidate is a LEADING_INDICATOR_FOR the influenza hospitalization target? Return the exact binding.,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_022,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,1.000,True,True,[],[],163,Which promoted candidate is a LEADING_INDICATOR_FOR the covid hospitalization target? Return the exact binding.,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_023,resp_exp_text_rag_unstructured_full,leading_indicator_by_target,1.000,True,True,[],[],151,Which promoted candidate is a LEADING_INDICATOR_FOR the rsv hospitalization target? Return the exact binding.,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_024,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,1.000,True,True,[],[],170,"For target 'FluSurv-NET influenza hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_025,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,1.000,True,True,[],[],178,"For target 'COVID-NET COVID-19 hospitalization rate', identify the promoted concurrent indicator involving 'Wastewater SARS-CoV-2 viral activity'. Return the exact binding.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_026,resp_exp_text_rag_unstructured_full,concurrent_indicator_discrimination,1.000,True,True,[],[],160,"For target 'RSV-NET RSV hospitalization rate', identify the promoted concurrent indicator involving 'Influenza test positivity'. Return the exact binding.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_027,resp_exp_text_rag_unstructured_full,negative_control_guard,1.000,True,True,[],[],208,What happened to the deterministic negative-control surveillance signal for target 'FluSurv-NET influenza hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. It remained unpromoted."
resp_exp_028,resp_exp_text_rag_unstructured_full,negative_control_guard,1.000,True,True,[],[],205,What happened to the deterministic negative-control surveillance signal for target 'COVID-NET COVID-19 hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE. It remained unpromoted."
resp_exp_029,resp_exp_text_rag_unstructured_full,negative_control_guard,1.000,True,True,[],[],198,What happened to the deterministic negative-control surveillance signal for target 'RSV-NET RSV hospitalization rate'? Return the exact binding and edge status.,"Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE. It remained unpromoted."
resp_exp_030,resp_exp_text_rag_unstructured_full,model_revision_guard,0.800,True,False,"[""screening evidence only"", ""COVID-19 test positivity""]",[],474,"For the influenza hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding.","For a candidate model revision for influenza, use the promoted binding Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement. The unsupported candidate COVID-19 test positivity should not be promoted.","Model-revision hypothesis candidate: Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. Unsupported: Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE; it should not be promoted, and forecast benefit remains unvalidated."
resp_exp_031,resp_exp_text_rag_unstructured_full,model_revision_guard,0.800,True,False,"[""screening evidence only"", ""Wastewater Influenza A viral activity""]",[],479,"For the covid hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding.","For a candidate model revision for covid, use the promoted binding Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement. The unsupported candidate Wastewater Influenza A viral activity should not be promoted.","Model-revision hypothesis candidate: Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. Unsupported: Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE; it should not be promoted, and forecast benefit remains unvalidated."
resp_exp_032,resp_exp_text_rag_unstructured_full,model_revision_guard,0.900,True,False,"[""screening evidence only""]",[],445,"For the rsv hospitalization target, recommend one candidate signal that could be considered for a model-revision hypothesis, and name one unsupported candidate that should not be promoted. Preserve the exact binding.","For a candidate model revision for rsv, use the promoted binding RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement. The unsupported candidate Deterministic negative-control surveillance signal should not be promoted.","Model-revision hypothesis candidate: RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. Unsupported: Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE; it should not be promoted, and forecast benefit remains unvalidated."
resp_exp_001,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],170,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_002,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],161,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_003,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],178,"Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_004,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],163,"Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_005,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],160,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_006,resp_exp_graphrag_context,promoted_exact_binding,1.000,True,True,[],[],151,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_007,resp_exp_graphrag_context,missing_exact_binding,1.000,True,True,[],[],184,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_008,resp_exp_graphrag_context,missing_exact_binding,1.000,True,True,[],[],170,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
