case_id,case_type,top_k,coverage,all_required_terms_present,missing_terms_json,retrieved_chunk_ids,retrieved_chunk_titles,question
resp_exp_003,promoted_exact_binding,1,0.571,False,"[""r=0.883280"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_003,promoted_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_003,promoted_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_003,promoted_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_003,promoted_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,promoted_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,promoted_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,promoted_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,promoted_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_004,promoted_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,promoted_exact_binding,1,0.571,False,"[""r=0.769103"", ""paired_weeks=194"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,promoted_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,promoted_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,promoted_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_005,promoted_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,promoted_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,promoted_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,promoted_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,promoted_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_006,promoted_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,missing_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,missing_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,missing_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,missing_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_007,missing_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,missing_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,missing_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,missing_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,missing_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_008,missing_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,missing_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,missing_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,missing_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,missing_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_009,missing_exact_binding,7,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo"", ""resp_exp_text_chunk_001_methods"", ""resp_exp_text_chunk_final_constraints""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5"", ""Respiratory expansion screening method notes"", ""Interpretation constraints""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_010,missing_exact_binding,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_010,missing_exact_binding,2,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_010,missing_exact_binding,3,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
resp_exp_010,missing_exact_binding,5,1.000,True,[],"[""resp_exp_text_chunk_002_memo"", ""resp_exp_text_chunk_003_memo"", ""resp_exp_text_chunk_005_memo"", ""resp_exp_text_chunk_004_memo"", ""resp_exp_text_chunk_006_memo""]","[""Mixed respiratory evidence memo fragment 1"", ""Mixed respiratory evidence memo fragment 2"", ""Mixed respiratory evidence memo fragment 4"", ""Mixed respiratory evidence memo fragment 3"", ""Mixed respiratory evidence memo fragment 5""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=...."
