case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms,forbidden_terms_present,answer_length_chars,answer
adv_bind_011,adversarial_text_rag_retrieval_limited,model_revision_guard,0.000,1,0,"[""Negative-control permuted surveillance signal"", ""excluded"", ""missing"", ""r=-0.048027"", ""lag 4 weeks"", ""no typed LEADING_INDICATOR_FOR edge""]",[],224,"The candidate to exclude cannot be identified from the retrieved text. It provides no candidate-specific best lag, score, paired-week count, support status, or edge status, and a listed lag alone would not establish support."
adv_bind_012,adversarial_text_rag_retrieval_limited,edge_status_binding,0.000,1,0,"[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity"", ""typed LEADING_INDICATOR_FOR edge""]",[],210,The three promoted candidates cannot be named from this retrieved snippet. It states only that some candidates received typed leading-indicator edges while another did not; exact edge membership is unavailable.
adv_bind_013,adversarial_text_rag_retrieval_limited,pairwise_score_binding,0.600,1,0,"[""r=0.958037"", ""r=0.947016""]",[],244,"The retrieved text does not establish whether Outpatient ILI activity or Influenza A wastewater concentration is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_014,adversarial_text_rag_retrieval_limited,pairwise_score_binding,0.600,1,0,"[""r=0.947016"", ""r=0.925810""]",[],246,"The retrieved text does not establish whether Influenza A wastewater concentration or Influenza test positivity is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_015,adversarial_text_rag_retrieval_limited,pairwise_score_binding,0.600,1,0,"[""r=0.958037"", ""r=0.925810""]",[],233,"The retrieved text does not establish whether Outpatient ILI activity or Influenza test positivity is stronger. Both are described as plausible signals, but their exact scores and candidate-specific evidence bindings are unavailable."
adv_bind_016,adversarial_text_rag_retrieval_limited,paired_week_binding,0.333,1,0,"[""Outpatient ILI activity"", ""Influenza test positivity""]",[],181,"The retrieved text does not identify which candidates have 29 paired weeks. It says paired-week counts differed after alignment, but the candidate-to-count bindings are unavailable."
adv_bind_017,adversarial_text_rag_retrieval_limited,paired_week_binding,0.333,1,0,"[""Influenza A wastewater concentration"", ""Negative-control permuted surveillance signal""]",[],181,"The retrieved text does not identify which candidates have 26 paired weeks. It says paired-week counts differed after alignment, but the candidate-to-count bindings are unavailable."
adv_bind_018,adversarial_text_rag_retrieval_limited,lag_binding,0.250,1,0,"[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity""]",[],187,"The retrieved text does not identify which supported candidates have lag 1 week. Candidate-specific lags and support statuses are not preserved, so the membership cannot be reconstructed."
adv_bind_019,adversarial_text_rag_retrieval_limited,lag_binding,0.200,1,0,"[""Negative-control permuted surveillance signal"", ""missing"", ""r=-0.048027"", ""no typed LEADING_INDICATOR_FOR edge""]",[],203,The retrieved text does not identify which candidate has lag 4 weeks or give its support and edge status. A recorded lag by itself would not justify a typed edge; candidate-specific evidence is required.
adv_bind_020,adversarial_text_rag_retrieval_limited,causal_overclaim_guard,1.000,1,1,[],[],166,"No. The retrieved text explicitly frames lagged correlations as screening evidence, not causal proof. It also states that forecast improvement has not been validated."
